,Round,Date,Home,Away,Score,GDH,GDA,GFTH,GFTA,GATH,GATA,GFH,GFA,GAH,GAA,Round_,Home_,Away_,HomeScore,AwayScore
74,Omgång 13,2019-08-14,Örebro ÖRE,Kopparbergs / Göteborg KOP,0-3,-3,22,21,39,24,17,9,20,12,10,4,11,2,0,3
75,Omgång 13,2019-08-14,Kungsbacka KUN,Linköping LFC,2-1,-48,12,13,28,61,16,7,10,28,12,4,4,6,2,1
76,Omgång 13,2019-08-14,Kristianstad KRI,Växjö VÄX,3-1,16,-15,38,21,22,36,24,7,9,24,4,3,10,3,1
77,Omgång 13,2019-08-14,Rosengård FCR,LB07 LIM,3-0,34,-24,46,16,12,40,31,6,7,22,4,8,5,3,0
78,Omgång 14,2019-08-18,Kopparbergs / Göteborg KOP,Kristianstad KRI,2-0,22,16,39,38,17,22,19,14,7,13,5,2,3,2,0
79,Omgång 14,2019-08-18,Eskilstuna ESK,Piteå PIT,1-1,9,7,27,23,18,16,13,9,6,8,5,1,7,1,1
80,Omgång 14,2019-08-18,Linköping LFC,Vittsjö VIT,2-1,12,16,28,28,16,12,18,13,4,8,5,6,9,2,1
81,Omgång 14,2019-08-20,LB07 LIM,Kungsbacka KUN,2-0,-24,-48,16,13,40,61,10,6,18,33,5,5,4,2,0
82,Omgång 14,2019-08-20,Växjö VÄX,Rosengård FCR,0-0,-15,34,21,46,36,12,14,15,12,5,5,10,8,0,0
83,Omgång 14,2019-08-21,Djurgården DIF,Örebro ÖRE,1-4,-26,-3,18,21,44,24,8,12,21,12,5,0,11,1,4
84,Omgång 15,2019-08-24,Kungsbacka KUN,Eskilstuna ESK,0-4,-48,9,13,27,61,18,7,14,28,12,6,4,1,0,4
85,Omgång 15,2019-08-24,Kopparbergs / Göteborg KOP,Linköping LFC,1-1,22,12,39,28,17,16,19,10,7,12,6,2,6,1,1
86,Omgång 15,2019-08-25,Vittsjö VIT,Växjö VÄX,2-0,16,-15,28,21,12,36,15,7,4,24,6,9,10,2,0
87,Omgång 15,2019-08-25,Piteå PIT,Rosengård FCR,1-1,7,34,23,46,16,12,14,15,8,5,6,7,8,1,1
88,Omgång 15,2019-08-25,Kristianstad KRI,Djurgården DIF,2-0,16,-26,38,18,22,44,24,10,9,23,6,3,0,2,0
89,Omgång 15,2019-08-25,Örebro ÖRE,LB07 LIM,0-1,-3,-24,21,16,24,40,9,6,12,22,6,11,5,0,1
90,Omgång 16,2019-09-07,LB07 LIM,Piteå PIT,1-1,-24,7,16,23,40,16,10,9,18,8,7,5,7,1,1
91,Omgång 16,2019-09-07,Kungsbacka KUN,Vittsjö VIT,0-1,-48,16,13,28,61,12,7,13,28,8,7,4,9,0,1
92,Omgång 16,2019-09-07,Örebro ÖRE,Kristianstad KRI,0-1,-3,16,21,38,24,22,9,14,12,13,7,11,3,0,1
93,Omgång 16,2019-09-07,Eskilstuna ESK,Kopparbergs / Göteborg KOP,2-1,9,22,27,39,18,17,13,20,6,10,7,1,2,2,1
94,Omgång 16,2019-09-07,Eskilstuna ESK,Kopparbergs / Göteborg KOP,2-1,9,22,27,39,18,17,13,20,6,10,7,1,2,2,1
95,Omgång 16,2019-09-07,LB07 LIM,Piteå PIT,1-1,-24,7,16,23,40,16,10,9,18,8,7,5,7,1,1
96,Omgång 16,2019-09-07,Örebro ÖRE,Kristianstad KRI,0-1,-3,16,21,38,24,22,9,14,12,13,7,11,3,0,1
97,Omgång 16,2019-09-07,Kungsbacka KUN,Vittsjö VIT,0-1,-48,16,13,28,61,12,7,13,28,8,7,4,9,0,1
98,Omgång 16,2019-09-08,Rosengård FCR,Djurgården DIF,3-1,34,-26,46,18,12,44,31,10,7,23,7,8,0,3,1
