Round,Date,Home,Away,Score,GDH,GDA,GFTH,GFTA,GATH,GATA,GFH,GFA,GAH,GAA
Omgång 17,2019-09-14,Kristianstad KRI,Kungsbacka KUN,5-0,14,-51,38,13,24,64,24,6,9,36
Omgång 17,2019-09-15,Djurgården DIF,LB07 LIM,0-0,-23,-25,21,16,44,41,11,6,21,23
Omgång 17,2019-09-15,Piteå PIT,Växjö VÄX,4-1,6,-14,24,23,18,37,15,7,10,24
Omgång 17,2019-09-15,Piteå PIT,Växjö VÄX,4-1,6,-14,24,23,18,37,15,7,10,24
Omgång 17,2019-09-15,Vittsjö VIT,Örebro ÖRE,1-0,18,-4,30,22,12,26,17,13,4,14
Omgång 17,2019-09-15,Kopparbergs / Göteborg KOP,Rosengård FCR,0-2,23,34,41,49,18,15,19,15,7,5
Omgång 17,2019-09-15,Djurgården DIF,LB07 LIM,0-0,-23,-25,21,16,44,41,11,6,21,23
Omgång 17,2019-09-15,Kopparbergs / Göteborg KOP,Rosengård FCR,0-2,23,34,41,49,18,15,19,15,7,5
Omgång 17,2019-09-15,Vittsjö VIT,Örebro ÖRE,1-0,18,-4,30,22,12,26,17,13,4,14
Omgång 18,2019-09-21,LB07 LIM,Kristianstad KRI,2-2,-25,14,16,38,41,24,10,14,18,15
Omgång 18,2019-09-21,Djurgården DIF,Kopparbergs / Göteborg KOP,1-3,-23,23,21,41,44,18,11,22,21,11
Omgång 18,2019-09-21,Djurgården DIF,Kopparbergs / Göteborg KOP,1-3,-23,23,21,41,44,18,11,22,21,11
Omgång 18,2019-09-21,LB07 LIM,Kristianstad KRI,2-2,-25,14,16,38,41,24,10,14,18,15
Omgång 18,2019-09-22,Piteå PIT,Linköping LFC,1-0,6,12,24,31,18,19,15,13,10,15
Omgång 18,2019-09-22,Rosengård FCR,Örebro ÖRE,3-1,34,-4,49,22,15,26,34,13,10,14
Omgång 18,2019-09-22,Eskilstuna ESK,Vittsjö VIT,1-0,10,18,28,30,18,12,14,13,6,8
Omgång 18,2019-09-22,Piteå PIT,Linköping LFC,1-0,6,12,24,31,18,19,15,13,10,15
