,Round,Date,Home,Away,Score,GDH,GDA,GFTH,GFTA,GATH,GATA,GFH,GFA,GAH,GAA,Round_,Home_,Away_,HomeScore,AwayScore
19,Omgång 4,2019-05-05,Djurgården DIF,Kristianstad KRI,0-2,-23,9,24,38,47,29,14,14,24,20,4,0,3,0,2
20,Omgång 4,2019-05-05,LB07 LIM,Eskilstuna ESK,0-1,-28,15,16,33,44,18,10,14,18,12,4,5,1,0,1
21,Omgång 4,2019-05-05,Kungsbacka KUN,Piteå PIT,1-5,-55,6,14,27,69,21,8,12,33,11,4,4,7,1,5
22,Omgång 4,2019-05-06,Linköping LFC,Örebro ÖRE,4-1,15,0,34,27,19,27,21,18,4,15,4,6,11,4,1
23,Omgång 5,2019-05-11,Vittsjö VIT,Eskilstuna ESK,1-0,18,15,31,33,13,18,17,14,4,12,5,9,1,1,0
24,Omgång 5,2019-05-11,Örebro ÖRE,Växjö VÄX,1-0,0,-15,27,24,27,39,9,8,12,26,5,11,10,1,0
25,Omgång 5,2019-05-11,Linköping LFC,Kungsbacka KUN,2-0,15,-55,34,14,19,69,21,6,4,36,5,6,4,2,0
26,Omgång 5,2019-05-11,Kopparbergs / Göteborg KOP,Djurgården DIF,3-1,24,-23,43,24,19,47,21,10,8,23,5,2,0,3,1
27,Omgång 5,2019-05-11,LB07 LIM,Rosengård FCR,3-2,-28,34,16,50,44,16,10,15,18,5,5,5,8,3,2
28,Omgång 5,2019-05-12,Piteå PIT,Kristianstad KRI,2-1,6,9,27,38,21,29,15,14,10,20,5,7,3,2,1
29,Omgång 6,2019-05-15,Växjö VÄX,Kopparbergs / Göteborg KOP,0-2,-15,24,24,43,39,19,16,22,13,11,6,10,2,0,2
30,Omgång 6,2019-05-15,Kungsbacka KUN,LB07 LIM,2-2,-55,-28,14,16,69,44,8,6,33,26,6,4,5,2,2
31,Omgång 6,2019-05-15,Kristianstad KRI,Linköping LFC,1-1,9,15,38,34,29,19,24,13,9,15,6,3,6,1,1
32,Omgång 6,2019-05-15,Djurgården DIF,Vittsjö VIT,1-3,-23,18,24,31,47,13,14,14,24,9,6,0,9,1,3
33,Omgång 6,2019-05-15,Rosengård FCR,Piteå PIT,2-0,34,6,50,27,16,21,35,12,11,11,6,8,7,2,0
34,Omgång 6,2019-05-15,Eskilstuna ESK,Örebro ÖRE,0-0,15,0,33,27,18,27,19,18,6,15,6,1,11,0,0
35,Omgång 7,2019-05-19,Örebro ÖRE,Kungsbacka KUN,1-0,0,-55,27,14,27,69,9,6,12,36,7,11,4,1,0
36,Omgång 7,2019-05-19,Kristianstad KRI,Eskilstuna ESK,3-0,9,15,38,33,29,18,24,14,9,12,7,3,1,3,0
37,Omgång 7,2019-05-19,Kopparbergs / Göteborg KOP,LB07 LIM,3-0,24,-28,43,16,19,44,21,6,8,26,7,2,5,3,0
38,Omgång 7,2019-05-19,Vittsjö VIT,Piteå PIT,0-0,18,6,31,27,13,21,17,12,4,11,7,9,7,0,0
39,Omgång 7,2019-05-20,Djurgården DIF,Växjö VÄX,3-0,-23,-15,24,24,47,39,14,8,24,26,7,0,10,3,0
40,Omgång 7,2019-05-20,Linköping LFC,Rosengård FCR,0-0,15,34,34,50,19,16,21,15,4,5,7,6,8,0,0
41,Omgång 3,2019-05-23,Piteå PIT,LB07 LIM,2-1,6,-28,27,16,21,44,15,6,10,26,3,7,5,2,1
42,Omgång 8,2019-07-20,LB07 LIM,Djurgården DIF,0-1,-28,-23,16,24,44,47,10,10,18,23,8,5,0,0,1
43,Omgång 8,2019-07-20,Kungsbacka KUN,Kristianstad KRI,0-5,-55,9,14,38,69,29,8,14,33,20,8,4,3,0,5
44,Omgång 8,2019-07-21,Vittsjö VIT,Kopparbergs / Göteborg KOP,2-4,18,24,31,43,13,19,17,22,4,11,8,9,2,2,4
45,Omgång 8,2019-07-21,Piteå PIT,Örebro ÖRE,0-3,6,0,27,27,21,27,15,18,10,15,8,7,11,0,3
46,Omgång 8,2019-07-21,Rosengård FCR,Växjö VÄX,5-0,34,-15,50,24,16,39,35,8,11,26,8,8,10,5,0
47,Omgång 8,2019-07-22,Eskilstuna ESK,Linköping LFC,2-0,15,15,33,34,18,19,19,13,6,15,8,1,6,2,0
48,Omgång 9,2019-07-26,Växjö VÄX,LB07 LIM,3-1,-15,-28,24,16,39,44,16,6,13,26,9,10,5,3,1
49,Omgång 9,2019-07-26,Kristianstad KRI,Vittsjö VIT,0-3,9,18,38,31,29,13,24,14,9,9,9,3,9,0,3
50,Omgång 9,2019-07-27,Kopparbergs / Göteborg KOP,Örebro ÖRE,0-0,24,0,43,27,19,27,21,18,8,15,9,2,11,0,0
51,Omgång 9,2019-07-27,Rosengård FCR,Kungsbacka KUN,6-1,34,-55,50,14,16,69,35,6,11,36,9,8,4,6,1
52,Omgång 9,2019-07-28,Linköping LFC,Piteå PIT,0-0,15,6,34,27,19,21,21,12,4,11,9,6,7,0,0
53,Omgång 9,2019-07-28,Djurgården DIF,Eskilstuna ESK,0-3,-23,15,24,33,47,18,14,14,24,12,9,0,1,0,3
54,Omgång 10,2019-07-31,LB07 LIM,Linköping LFC,0-4,-28,15,16,34,44,19,10,13,18,15,10,5,6,0,4
55,Omgång 10,2019-07-31,Eskilstuna ESK,Kungsbacka KUN,3-0,15,-55,33,14,18,69,19,6,6,36,10,1,4,3,0
56,Omgång 10,2019-07-31,Kopparbergs / Göteborg KOP,Piteå PIT,1-1,24,6,43,27,19,21,21,12,8,11,10,2,7,1,1
57,Omgång 10,2019-07-31,Vittsjö VIT,Rosengård FCR,0-0,18,34,31,50,13,16,17,15,4,5,10,9,8,0,0
58,Omgång 10,2019-07-31,Växjö VÄX,Kristianstad KRI,2-2,-15,9,24,38,39,29,16,14,13,20,10,10,3,2,2
59,Omgång 10,2019-07-31,Örebro ÖRE,Djurgården DIF,3-1,0,-23,27,24,27,47,9,10,12,23,10,11,0,3,1
60,Omgång 11,2019-08-04,Linköping LFC,Kopparbergs / Göteborg KOP,1-0,15,24,34,43,19,19,21,22,4,11,11,6,2,1,0
61,Omgång 11,2019-08-04,Kristianstad KRI,Örebro ÖRE,2-0,9,0,38,27,29,27,24,18,9,15,11,3,11,2,0
62,Omgång 11,2019-08-04,Kungsbacka KUN,Växjö VÄX,0-3,-55,-15,14,24,69,39,8,8,33,26,11,4,10,0,3
63,Omgång 11,2019-08-04,Piteå PIT,Eskilstuna ESK,3-1,6,15,27,33,21,18,15,14,10,12,11,7,1,3,1
64,Omgång 11,2019-08-04,LB07 LIM,Vittsjö VIT,0-3,-28,18,16,31,44,13,10,14,18,9,11,5,9,0,3
65,Omgång 11,2019-08-05,Djurgården DIF,Rosengård FCR,0-3,-23,34,24,50,47,16,14,15,24,5,11,0,8,0,3
66,Omgång 12,2019-08-09,Växjö VÄX,Djurgården DIF,2-1,-15,-23,24,24,39,47,16,10,13,23,12,10,0,2,1
67,Omgång 12,2019-08-10,Örebro ÖRE,Piteå PIT,1-0,0,6,27,27,27,21,9,12,12,11,12,11,7,1,0
68,Omgång 12,2019-08-10,Vittsjö VIT,LB07 LIM,4-0,18,-28,31,16,13,44,17,6,4,26,12,9,5,4,0
69,Omgång 12,2019-08-10,Rosengård FCR,Eskilstuna ESK,2-1,34,15,50,33,16,18,35,14,11,12,12,8,1,2,1
70,Omgång 12,2019-08-10,Kopparbergs / Göteborg KOP,Kungsbacka KUN,6-0,24,-55,43,14,19,69,21,6,8,36,12,2,4,6,0
71,Omgång 12,2019-08-10,Linköping LFC,Kristianstad KRI,0-0,15,9,34,38,19,29,21,14,4,20,12,6,3,0,0
72,Omgång 13,2019-08-14,Eskilstuna ESK,Djurgården DIF,4-2,15,-23,33,24,18,47,19,10,6,23,13,1,0,4,2
73,Omgång 13,2019-08-14,Örebro ÖRE,Kopparbergs / Göteborg KOP,0-3,0,24,27,43,27,19,9,22,12,11,13,11,2,0,3
74,Omgång 13,2019-08-14,Piteå PIT,Vittsjö VIT,0-0,6,18,27,31,21,13,15,14,10,9,13,7,9,0,0
75,Omgång 13,2019-08-14,Kristianstad KRI,Växjö VÄX,3-1,9,-15,38,24,29,39,24,8,9,26,13,3,10,3,1
76,Omgång 13,2019-08-14,Rosengård FCR,LB07 LIM,3-0,34,-28,50,16,16,44,35,6,11,26,13,8,5,3,0
77,Omgång 13,2019-08-14,Kungsbacka KUN,Linköping LFC,2-1,-55,15,14,34,69,19,8,13,33,15,13,4,6,2,1
78,Omgång 14,2019-08-18,Kopparbergs / Göteborg KOP,Kristianstad KRI,2-0,24,9,43,38,19,29,21,14,8,20,14,2,3,2,0
79,Omgång 14,2019-08-18,Eskilstuna ESK,Piteå PIT,1-1,15,6,33,27,18,21,19,12,6,11,14,1,7,1,1
80,Omgång 14,2019-08-18,Linköping LFC,Vittsjö VIT,2-1,15,18,34,31,19,13,21,14,4,9,14,6,9,2,1
81,Omgång 14,2019-08-20,LB07 LIM,Kungsbacka KUN,2-0,-28,-55,16,14,44,69,10,6,18,36,14,5,4,2,0
82,Omgång 14,2019-08-20,Växjö VÄX,Rosengård FCR,0-0,-15,34,24,50,39,16,16,15,13,5,14,10,8,0,0
83,Omgång 14,2019-08-21,Djurgården DIF,Örebro ÖRE,1-4,-23,0,24,27,47,27,14,18,24,15,14,0,11,1,4
84,Omgång 15,2019-08-24,Kopparbergs / Göteborg KOP,Linköping LFC,1-1,24,15,43,34,19,19,21,13,8,15,15,2,6,1,1
85,Omgång 15,2019-08-24,Kungsbacka KUN,Eskilstuna ESK,0-4,-55,15,14,33,69,18,8,14,33,12,15,4,1,0,4
86,Omgång 15,2019-08-25,Örebro ÖRE,LB07 LIM,0-1,0,-28,27,16,27,44,9,6,12,26,15,11,5,0,1
87,Omgång 15,2019-08-25,Kristianstad KRI,Djurgården DIF,2-0,9,-23,38,24,29,47,24,10,9,23,15,3,0,2,0
88,Omgång 15,2019-08-25,Vittsjö VIT,Växjö VÄX,2-0,18,-15,31,24,13,39,17,8,4,26,15,9,10,2,0
89,Omgång 15,2019-08-25,Piteå PIT,Rosengård FCR,1-1,6,34,27,50,21,16,15,15,10,5,15,7,8,1,1
90,Omgång 16,2019-09-07,Eskilstuna ESK,Kopparbergs / Göteborg KOP,2-1,15,24,33,43,18,19,19,22,6,11,16,1,2,2,1
91,Omgång 16,2019-09-07,Örebro ÖRE,Kristianstad KRI,0-1,0,9,27,38,27,29,9,14,12,20,16,11,3,0,1
92,Omgång 16,2019-09-07,LB07 LIM,Piteå PIT,1-1,-28,6,16,27,44,21,10,12,18,11,16,5,7,1,1
93,Omgång 16,2019-09-07,Kungsbacka KUN,Vittsjö VIT,0-1,-55,18,14,31,69,13,8,14,33,9,16,4,9,0,1
94,Omgång 16,2019-09-08,Rosengård FCR,Djurgården DIF,3-1,34,-23,50,24,16,47,35,10,11,23,16,8,0,3,1
95,Omgång 16,2019-09-09,Växjö VÄX,Linköping LFC,1-0,-15,15,24,34,39,19,16,13,13,15,16,10,6,1,0
96,Omgång 17,2019-09-13,Linköping LFC,Eskilstuna ESK,0-1,15,15,34,33,19,18,21,14,4,12,17,6,1,0,1
97,Omgång 17,2019-09-14,Kristianstad KRI,Kungsbacka KUN,5-0,9,-55,38,14,29,69,24,6,9,36,17,3,4,5,0
98,Omgång 17,2019-09-15,Kopparbergs / Göteborg KOP,Rosengård FCR,0-2,24,34,43,50,19,16,21,15,8,5,17,2,8,0,2
99,Omgång 17,2019-09-15,Djurgården DIF,LB07 LIM,0-0,-23,-28,24,16,47,44,14,6,24,26,17,0,5,0,0
100,Omgång 17,2019-09-15,Piteå PIT,Växjö VÄX,4-1,6,-15,27,24,21,39,15,8,10,26,17,7,10,4,1
101,Omgång 17,2019-09-15,Vittsjö VIT,Örebro ÖRE,1-0,18,0,31,27,13,27,17,18,4,15,17,9,11,1,0
102,Omgång 18,2019-09-21,Djurgården DIF,Kopparbergs / Göteborg KOP,1-3,-23,24,24,43,47,19,14,22,24,11,18,0,2,1,3
103,Omgång 18,2019-09-21,LB07 LIM,Kristianstad KRI,2-2,-28,9,16,38,44,29,10,14,18,20,18,5,3,2,2
104,Omgång 18,2019-09-21,Djurgården DIF,Kopparbergs / Göteborg KOP,1-3,-23,24,24,43,47,19,14,22,24,11,18,0,2,1,3
105,Omgång 18,2019-09-21,LB07 LIM,Kristianstad KRI,2-2,-28,9,16,38,44,29,10,14,18,20,18,5,3,2,2
106,Omgång 18,2019-09-22,Rosengård FCR,Örebro ÖRE,3-1,34,0,50,27,16,27,35,18,11,15,18,8,11,3,1
107,Omgång 18,2019-09-22,Piteå PIT,Linköping LFC,1-0,6,15,27,34,21,19,15,13,10,15,18,7,6,1,0
108,Omgång 18,2019-09-22,Eskilstuna ESK,Vittsjö VIT,1-0,15,18,33,31,18,13,19,14,6,9,18,1,9,1,0
109,Omgång 18,2019-09-22,Rosengård FCR,Örebro ÖRE,3-1,34,0,50,27,16,27,35,18,11,15,18,8,11,3,1
110,Omgång 18,2019-09-22,Piteå PIT,Linköping LFC,1-0,6,15,27,34,21,19,15,13,10,15,18,7,6,1,0
111,Omgång 18,2019-09-22,Eskilstuna ESK,Vittsjö VIT,1-0,15,18,33,31,18,13,19,14,6,9,18,1,9,1,0
112,Omgång 18,2019-09-23,Växjö VÄX,Kungsbacka KUN,5-5,-15,-55,24,14,39,69,16,6,13,36,18,10,4,5,5
113,Omgång 18,2019-09-23,Växjö VÄX,Kungsbacka KUN,5-5,-15,-55,24,14,39,69,16,6,13,36,18,10,4,5,5
114,Omgång 19,2019-09-26,Linköping LFC,Djurgården DIF,4-1,15,-23,34,24,19,47,21,10,4,23,19,6,0,4,1
115,Omgång 19,2019-09-26,Linköping LFC,Djurgården DIF,4-1,15,-23,34,24,19,47,21,10,4,23,19,6,0,4,1
116,Omgång 19,2019-09-28,LB07 LIM,Växjö VÄX,1-1,-28,-15,16,24,44,39,10,8,18,26,19,5,10,1,1
117,Omgång 19,2019-09-28,Kungsbacka KUN,Rosengård FCR,1-2,-55,34,14,50,69,16,8,15,33,5,19,4,8,1,2
118,Omgång 19,2019-09-28,LB07 LIM,Växjö VÄX,1-1,-28,-15,16,24,44,39,10,8,18,26,19,5,10,1,1
119,Omgång 19,2019-09-28,Kungsbacka KUN,Rosengård FCR,1-2,-55,34,14,50,69,16,8,15,33,5,19,4,8,1,2
120,Omgång 19,2019-09-29,Örebro ÖRE,Eskilstuna ESK,2-2,0,15,27,33,27,18,9,14,12,12,19,11,1,2,2
121,Omgång 19,2019-09-29,Kristianstad KRI,Piteå PIT,1-1,9,6,38,27,29,21,24,12,9,11,19,3,7,1,1
122,Omgång 19,2019-09-29,Örebro ÖRE,Eskilstuna ESK,2-2,0,15,27,33,27,18,9,14,12,12,19,11,1,2,2
123,Omgång 19,2019-09-29,Kristianstad KRI,Piteå PIT,1-1,9,6,38,27,29,21,24,12,9,11,19,3,7,1,1
124,Omgång 19,2019-09-29,Kopparbergs / Göteborg KOP,Vittsjö VIT,2-1,24,18,43,31,19,13,21,14,8,9,19,2,9,2,1
125,Omgång 19,2019-09-29,Kopparbergs / Göteborg KOP,Vittsjö VIT,2-1,24,18,43,31,19,13,21,14,8,9,19,2,9,2,1
126,Omgång 20,2019-10-12,Piteå PIT,Kopparbergs / Göteborg KOP,1-2,6,24,27,43,21,19,15,22,10,11,20,7,2,1,2
127,Omgång 20,2019-10-12,Djurgården DIF,Kungsbacka KUN,3-0,-23,-55,24,14,47,69,14,6,24,36,20,0,4,3,0
128,Omgång 20,2019-10-12,Djurgården DIF,Kungsbacka KUN,3-0,-23,-55,24,14,47,69,14,6,24,36,20,0,4,3,0
129,Omgång 20,2019-10-12,Piteå PIT,Kopparbergs / Göteborg KOP,1-2,6,24,27,43,21,19,15,22,10,11,20,7,2,1,2
130,Omgång 20,2019-10-13,Växjö VÄX,Örebro ÖRE,2-1,-15,0,24,27,39,27,16,18,13,15,20,10,11,2,1
131,Omgång 20,2019-10-13,Eskilstuna ESK,LB07 LIM,1-0,15,-28,33,16,18,44,19,6,6,26,20,1,5,1,0
132,Omgång 20,2019-10-13,Rosengård FCR,Linköping LFC,3-3,34,15,50,34,16,19,35,13,11,15,20,8,6,3,3
133,Omgång 20,2019-10-13,Växjö VÄX,Örebro ÖRE,2-1,-15,0,24,27,39,27,16,18,13,15,20,10,11,2,1
134,Omgång 20,2019-10-13,Vittsjö VIT,Kristianstad KRI,2-0,18,9,31,38,13,29,17,14,4,20,20,9,3,2,0
135,Omgång 20,2019-10-13,Eskilstuna ESK,LB07 LIM,1-0,15,-28,33,16,18,44,19,6,6,26,20,1,5,1,0
136,Omgång 20,2019-10-13,Rosengård FCR,Linköping LFC,3-3,34,15,50,34,16,19,35,13,11,15,20,8,6,3,3
137,Omgång 20,2019-10-13,Vittsjö VIT,Kristianstad KRI,2-0,18,9,31,38,13,29,17,14,4,20,20,9,3,2,0
138,Omgång 21,2019-10-19,Eskilstuna ESK,Kristianstad KRI,5-0,15,9,33,38,18,29,19,14,6,20,21,1,3,5,0
139,Omgång 21,2019-10-19,Kungsbacka KUN,Örebro ÖRE,1-5,-55,0,14,27,69,27,8,18,33,15,21,4,11,1,5
140,Omgång 21,2019-10-19,Eskilstuna ESK,Kristianstad KRI,5-0,15,9,33,38,18,29,19,14,6,20,21,1,3,5,0
141,Omgång 21,2019-10-19,Kungsbacka KUN,Örebro ÖRE,1-5,-55,0,14,27,69,27,8,18,33,15,21,4,11,1,5
142,Omgång 21,2019-10-20,Kopparbergs / Göteborg KOP,Växjö VÄX,2-1,24,-15,43,24,19,39,21,8,8,26,21,2,10,2,1
143,Omgång 21,2019-10-20,Djurgården DIF,Piteå PIT,3-3,-23,6,24,27,47,21,14,12,24,11,21,0,7,3,3
144,Omgång 21,2019-10-20,Rosengård FCR,Vittsjö VIT,1-1,34,18,50,31,16,13,35,14,11,9,21,8,9,1,1
145,Omgång 21,2019-10-20,Linköping LFC,LB07 LIM,3-0,15,-28,34,16,19,44,21,6,4,26,21,6,5,3,0
146,Omgång 21,2019-10-20,Djurgården DIF,Piteå PIT,3-3,-23,6,24,27,47,21,14,12,24,11,21,0,7,3,3
147,Omgång 21,2019-10-20,Kopparbergs / Göteborg KOP,Växjö VÄX,2-1,24,-15,43,24,19,39,21,8,8,26,21,2,10,2,1
148,Omgång 21,2019-10-20,Rosengård FCR,Vittsjö VIT,1-1,34,18,50,31,16,13,35,14,11,9,21,8,9,1,1
149,Omgång 21,2019-10-20,Linköping LFC,LB07 LIM,3-0,15,-28,34,16,19,44,21,6,4,26,21,6,5,3,0
150,Omgång 22,2019-10-26,Vittsjö VIT,Djurgården DIF,0-0,18,-23,31,24,13,47,17,10,4,23,22,9,0,0,0
151,Omgång 22,2019-10-26,Växjö VÄX,Eskilstuna ESK,0-0,-15,15,24,33,39,18,16,14,13,12,22,10,1,0,0
152,Omgång 22,2019-10-26,Piteå PIT,Kungsbacka KUN,0-0,6,-55,27,14,21,69,15,6,10,36,22,7,4,0,0
153,Omgång 22,2019-10-26,Kristianstad KRI,Rosengård FCR,0-0,9,34,38,50,29,16,24,15,9,5,22,3,8,0,0
154,Omgång 22,2019-10-26,Örebro ÖRE,Linköping LFC,0-0,0,15,27,34,27,19,9,13,12,15,22,11,6,0,0
155,Omgång 22,2019-10-26,LB07 LIM,Kopparbergs / Göteborg KOP,0-0,-28,24,16,43,44,19,10,22,18,11,22,5,2,0,0
