Round,Date,Home,Away,Score,GDH,GDA,GFTH,GFTA,GATH,GATA,GFH,GFA,GAH,GAA
Omgång 18,2019-09-23,Växjö VÄX,Kungsbacka KUN,5-5,-15,-55,24,14,39,69,16,6,13,36
Omgång 18,2019-09-23,Växjö VÄX,Kungsbacka KUN,5-5,-15,-55,24,14,39,69,16,6,13,36
Omgång 19,2019-09-26,Linköping LFC,Djurgården DIF,4-1,15,-23,34,24,19,47,21,10,4,23
Omgång 19,2019-09-26,Linköping LFC,Djurgården DIF,4-1,15,-23,34,24,19,47,21,10,4,23
Omgång 19,2019-09-28,LB07 LIM,Växjö VÄX,1-1,-28,-15,16,24,44,39,10,8,18,26
Omgång 19,2019-09-28,Kungsbacka KUN,Rosengård FCR,1-2,-55,34,14,50,69,16,8,15,33,5
Omgång 19,2019-09-28,LB07 LIM,Växjö VÄX,1-1,-28,-15,16,24,44,39,10,8,18,26
Omgång 19,2019-09-28,Kungsbacka KUN,Rosengård FCR,1-2,-55,34,14,50,69,16,8,15,33,5
Omgång 19,2019-09-29,Örebro ÖRE,Eskilstuna ESK,2-2,0,15,27,33,27,18,9,14,12,12
Omgång 19,2019-09-29,Kristianstad KRI,Piteå PIT,1-1,9,6,38,27,29,21,24,12,9,11
Omgång 19,2019-09-29,Örebro ÖRE,Eskilstuna ESK,2-2,0,15,27,33,27,18,9,14,12,12
Omgång 19,2019-09-29,Kristianstad KRI,Piteå PIT,1-1,9,6,38,27,29,21,24,12,9,11
Omgång 19,2019-09-29,Kopparbergs / Göteborg KOP,Vittsjö VIT,2-1,24,18,43,31,19,13,21,14,8,9
Omgång 19,2019-09-29,Kopparbergs / Göteborg KOP,Vittsjö VIT,2-1,24,18,43,31,19,13,21,14,8,9
Omgång 20,2019-10-12,Piteå PIT,Kopparbergs / Göteborg KOP,1-2,6,24,27,43,21,19,15,22,10,11
Omgång 20,2019-10-12,Djurgården DIF,Kungsbacka KUN,3-0,-23,-55,24,14,47,69,14,6,24,36
Omgång 20,2019-10-12,Djurgården DIF,Kungsbacka KUN,3-0,-23,-55,24,14,47,69,14,6,24,36
Omgång 20,2019-10-12,Piteå PIT,Kopparbergs / Göteborg KOP,1-2,6,24,27,43,21,19,15,22,10,11
Omgång 20,2019-10-13,Växjö VÄX,Örebro ÖRE,2-1,-15,0,24,27,39,27,16,18,13,15
Omgång 20,2019-10-13,Eskilstuna ESK,LB07 LIM,1-0,15,-28,33,16,18,44,19,6,6,26
Omgång 20,2019-10-13,Rosengård FCR,Linköping LFC,3-3,34,15,50,34,16,19,35,13,11,15
Omgång 20,2019-10-13,Växjö VÄX,Örebro ÖRE,2-1,-15,0,24,27,39,27,16,18,13,15
Omgång 20,2019-10-13,Vittsjö VIT,Kristianstad KRI,2-0,18,9,31,38,13,29,17,14,4,20
Omgång 20,2019-10-13,Eskilstuna ESK,LB07 LIM,1-0,15,-28,33,16,18,44,19,6,6,26
Omgång 20,2019-10-13,Rosengård FCR,Linköping LFC,3-3,34,15,50,34,16,19,35,13,11,15
Omgång 20,2019-10-13,Vittsjö VIT,Kristianstad KRI,2-0,18,9,31,38,13,29,17,14,4,20
Omgång 21,2019-10-19,Eskilstuna ESK,Kristianstad KRI,5-0,15,9,33,38,18,29,19,14,6,20
Omgång 21,2019-10-19,Kungsbacka KUN,Örebro ÖRE,1-5,-55,0,14,27,69,27,8,18,33,15
Omgång 21,2019-10-19,Eskilstuna ESK,Kristianstad KRI,5-0,15,9,33,38,18,29,19,14,6,20
Omgång 21,2019-10-19,Kungsbacka KUN,Örebro ÖRE,1-5,-55,0,14,27,69,27,8,18,33,15
Omgång 21,2019-10-20,Kopparbergs / Göteborg KOP,Växjö VÄX,2-1,24,-15,43,24,19,39,21,8,8,26
Omgång 21,2019-10-20,Djurgården DIF,Piteå PIT,3-3,-23,6,24,27,47,21,14,12,24,11
Omgång 21,2019-10-20,Rosengård FCR,Vittsjö VIT,1-1,34,18,50,31,16,13,35,14,11,9
Omgång 21,2019-10-20,Linköping LFC,LB07 LIM,3-0,15,-28,34,16,19,44,21,6,4,26
Omgång 21,2019-10-20,Djurgården DIF,Piteå PIT,3-3,-23,6,24,27,47,21,14,12,24,11
Omgång 21,2019-10-20,Kopparbergs / Göteborg KOP,Växjö VÄX,2-1,24,-15,43,24,19,39,21,8,8,26
Omgång 21,2019-10-20,Rosengård FCR,Vittsjö VIT,1-1,34,18,50,31,16,13,35,14,11,9
Omgång 21,2019-10-20,Linköping LFC,LB07 LIM,3-0,15,-28,34,16,19,44,21,6,4,26
Omgång 22,2019-10-26,Vittsjö VIT,Djurgården DIF,0-0,18,-23,31,24,13,47,17,10,4,23
Omgång 22,2019-10-26,Växjö VÄX,Eskilstuna ESK,0-0,-15,15,24,33,39,18,16,14,13,12
Omgång 22,2019-10-26,Piteå PIT,Kungsbacka KUN,0-0,6,-55,27,14,21,69,15,6,10,36
Omgång 22,2019-10-26,Kristianstad KRI,Rosengård FCR,0-0,9,34,38,50,29,16,24,15,9,5
Omgång 22,2019-10-26,Örebro ÖRE,Linköping LFC,0-0,0,15,27,34,27,19,9,13,12,15
Omgång 22,2019-10-26,LB07 LIM,Kopparbergs / Göteborg KOP,0-0,-28,24,16,43,44,19,10,22,18,11
