,Round,Date,Home,Away,Score,GDH,GDA,GFTH,GFTA,GATH,GATA,GFH,GFA,GAH,GAA,Round_,Home_,Away_,HomeScore,AwayScore
34,Omgång 4,2020-07-15,Piteå PIT,Linköping LFC,2-2,2,5,8,11,6,6,3,6,4,6,4,6,5,2,2
35,Omgång 4,2020-07-15,Djurgården DIF,Vittsjö VIT,2-1,-3,-6,8,6,11,12,6,2,5,6,4,0,9,2,1
36,Omgång 5,2020-07-19,Linköping LFC,Eskilstuna ESK,1-0,5,1,11,11,6,10,5,5,0,5,5,5,1,1,0
37,Omgång 5,2020-07-19,Umeå IK UME,Rosengård FCR,0-3,-8,13,6,15,14,2,5,7,10,0,5,8,7,0,3
38,Omgång 5,2020-07-19,Vittsjö VIT,Piteå PIT,0-1,-6,2,6,8,12,6,4,5,6,2,5,9,6,0,1
39,Omgång 5,2020-07-19,Kristianstad KRI,IK Uppsala UPP,2-1,-3,0,12,8,15,8,2,2,2,3,5,4,2,2,1
40,Omgång 5,2020-07-19,Örebro ÖRE,Växjö VÄX,1-0,-4,-10,7,2,11,12,4,1,4,8,5,11,10,1,0
41,Omgång 5,2020-07-19,Örebro ÖRE,Växjö VÄX,1-0,-4,-10,7,2,11,12,4,1,4,8,5,11,10,1,0
42,Omgång 5,2020-07-19,Vittsjö VIT,Piteå PIT,0-1,-6,2,6,8,12,6,4,5,6,2,5,9,6,0,1
43,Omgång 5,2020-07-19,Linköping LFC,Eskilstuna ESK,1-0,5,1,11,11,6,10,5,5,0,5,5,5,1,1,0
44,Omgång 5,2020-07-19,Umeå IK UME,Rosengård FCR,0-3,-8,13,6,15,14,2,5,7,10,0,5,8,7,0,3
45,Omgång 5,2020-07-19,Kristianstad KRI,IK Uppsala UPP,2-1,-3,0,12,8,15,8,2,2,2,3,5,4,2,2,1
46,Omgång 5,2020-07-20,Kopparbergs / Göteborg KOP,Djurgården DIF,2-0,13,-3,15,8,2,11,11,2,1,6,5,3,0,2,0
47,Omgång 5,2020-07-20,Kopparbergs / Göteborg KOP,Djurgården DIF,2-0,13,-3,15,8,2,11,11,2,1,6,5,3,0,2,0
48,Omgång 6,2020-07-24,Rosengård FCR,Örebro ÖRE,6-0,13,-4,15,7,2,11,8,3,2,7,6,7,11,6,0
49,Omgång 6,2020-07-24,Umeå IK UME,Linköping LFC,3-2,-8,5,6,11,14,6,5,6,10,6,6,8,5,3,2
50,Omgång 6,2020-07-24,Umeå IK UME,Linköping LFC,3-2,-8,5,6,11,14,6,5,6,10,6,6,8,5,3,2
51,Omgång 6,2020-07-24,Rosengård FCR,Örebro ÖRE,6-0,13,-4,15,7,2,11,8,3,2,7,6,7,11,6,0
52,Omgång 6,2020-07-25,Piteå PIT,Växjö VÄX,0-1,2,-10,8,2,6,12,3,1,4,8,6,6,10,0,1
53,Omgång 6,2020-07-25,IK Uppsala UPP,Kopparbergs / Göteborg KOP,0-2,0,13,8,15,8,2,6,4,5,1,6,2,3,0,2
54,Omgång 6,2020-07-25,Eskilstuna ESK,Vittsjö VIT,3-1,1,-6,11,6,10,12,6,2,5,6,6,1,9,3,1
55,Omgång 6,2020-07-25,Djurgården DIF,Kristianstad KRI,3-3,-3,-3,8,12,11,15,6,10,5,13,6,0,4,3,3
56,Omgång 6,2020-07-25,Eskilstuna ESK,Vittsjö VIT,3-1,1,-6,11,6,10,12,6,2,5,6,6,1,9,3,1
57,Omgång 6,2020-07-25,IK Uppsala UPP,Kopparbergs / Göteborg KOP,0-2,0,13,8,15,8,2,6,4,5,1,6,2,3,0,2
